Comments,Reviewer Name,,,,,,,
"The placements offered by IITPKD is undoubtedly the best.The Career Development Center (CDC) offers the eligible candidates with well deserving placements. The placement cell always aims to achieve the best possible placement outcomes. Students are offered jobs depending upon their field of interest and credentials, to fruitfully pursue their career interests. Internships are conducted by the college at the end of the 4th and 6th semester, during the vacations as the college encourages the exposure of its students to industrial grounds. I have seen seniors applying for internships and successfully completing them. A stipend of about Rs. 6000/- per month is provided to all the selected candidates.",Gopika,,,,,,,
"As far as I got to know from my seniors and placement cell authorities, 60-79% students were placed from final year. The highest offered salary was 9 LPA and lowest was 6 LPA. Companies like Infotech, Infosys visited for placements. Internships were also offered to at least 10% students with stipend of 8000-10,000.",Akt,,,,,,,
"Almost 60% of the students got placed. In our course, the highest salary package offered was Rs. 9 Lakhs, lowest being Rs. 6 Lakhs and the average salary package offered was Rs. 7 Lakhs. L&t Infotech is the top recruiting company. Almost 10% of the students got an internship in L&T company.",Gokul,,,,,,,
Never fear about placement here. It is assured with 80% students being hired every year. The the placement cell is extremely competitive and you have to prove your abilities and skills to the company. Internships are provided by an outside the college also.,Proto,,,,,,,
"There is a high opportunity to get great situations. Numerous understudies do their temporary jobs in the second year which is an extremely pleasant thing, and some of them travel to another country to do the entry level position and get the knowledge.",Ñãwãb,,,,,,,
"The placements in my college were quite good. Companies like tata motors, Toyota, Honda, Dell, kpmg, Infosys, Google, etc., visited our college in the last semester and selected the candidates on the basis of merit",Sohail,,,,,,,
"since it is IIT and has been established not so late, the placements are regular and active but doesn't have the associations much when it comes to reach and in comparison with other IITs but it does provide suitable and satisfied recruitment.",Baishali,,,,,,,
"The college had excellent placement cell which used to organize several internship programs and placement drives. Companies like tata motors, Toyota, Honda, Dell, kpmg, pwc, etc., used to visit our college in the last semester and selected the candidates on the basis of interview",Manav,,,,,,,
"the placements opportunities are so far good and impressive as it is IIT so no doubt the associations has to be strong and with good reputed companies which were, that not only boosted the confidence of students but also gave them golden opportunities.",Shashwat,,,,,,,
The Career Development Centre of IITPKD is an unbiased corner that provides its students with a great career opportunity and is very supportive and aims for giving the right career opportunity to us based on our capabilities. They put in all their efforts to gift us with a fruitful future. They always aspire to achieve the best possible placement outcomes.,"Ahmad""I chose this college because I was allotted this college according to my rank in the joint entrance examination advanced exam. There is no other specific or particular reason behind it. One advantage I have considered is the environment it is situated in. This college is in Kerala", and this state is also kind of near to my home state. Negative aspect is that it is one of the newly established IITs. At the time I joined the college, there was not a single batch that passed out. So I was not sure about the placements. But I don't regret my decision of joining this college. The faculty is good and even the placements and internships are also good. However the infrastructure and the facilities are not like those of old IITs. These are still under development. But as of now the facilities are good.,,,,,
"The admission process is only through the rank you secure in the JEE Advanced Examination.|JEE Advanced 2018""",Hasini,,,,,,,
My experience till now at IIT Palakkad has been full of adventures. The quality of the education I am receiving is remarkable. The faculty and staff are always there to make the journey smooth. The facilities and infrastructure of the college is satisfying.,Anand,,,,,,,
I sat for JEE advanced according to the dates by the institute. I had PCMB for 10+2 and scored above 90% but my JEE advanced scores is what mattered the most. JEE mains are also not applicable. It is just the advanced scores.|There are around 64 placement offers made to students. Most of the students are placed depending on other factors. The annual payment is usually in Lakhs of rupees. There are industry internship programs and I have been part of it. It really helped me to gain a lot of information about the work.,Asitha,,,,,,,
"1. I completed an application form for JEE  advanced2. There were cut offs and I had to pass in JEE advance in order to get admission. Other grades are not important. The most important is JEE advanced scores.|There are internships in and outside India. The college focuses on placements and job opportunitiesMore than 70% of students are placed The average salary is around Rs. 8,00,000  per year The highest salary is around 16 LPA.",Ziad,,,,,,,
"My admission in the esteemed institution was through All India JEE Advanced Entrance Examination. The eligibility criteria for appearing for the entrance exam was getting an aggregate of 75% in the 10+2 examination from a recognised board and then clearing the cut-off of the JEE Mains Examination. I secured a rank of 7941 and got admitted to the college. After the declaration of the results a document verification round was conducted followed by 6 rounds of counselling that finally made me get the seat. I have always wanted to pursue computer science and engineering as my subject and as I got it, there was no looking back to other options.|The placements offered by IITPKD is undoubtedly the best.The Career Development Center (CDC) offers the eligible candidates with well deserving placements. The placement cell always aims to achieve the best possible placement outcomes. Students are offered jobs depending upon their field of interest and credentials, to fruitfully pursue their career interests. Internships are conducted by the college at the end of the 4th and 6th semester, during the vacations as the college encourages the exposure of its students to industrial grounds. I have seen seniors applying for internships and successfully completing them. A stipend of about Rs. 6000/- per month is provided to all the selected candidates.",Gopika,,,,,,,
"The college is a well recognized institution. It has all the facilities and meets up all the criterias of a proper IIT. Once you get here, you go back with a bright future. All round development is promised by the college.",Akt,,,,,,,
"First of all in order to be eligible to apply, you need to have passed 10+2 (PCM) plus have a position in the top 20 percentiles from any respective board. For B Tech program, you must score good marks in JEE examination.|Almost 60% of the students got placed. In our course, the highest salary package offered was Rs. 9 Lakhs, lowest being Rs. 6 Lakhs and the average salary package offered was Rs. 7 Lakhs. L&t Infotech is the top recruiting company. Almost 10% of the students got an internship in L&T company.",Gokul,,,,,,,
"My life at IIT Palakkad has given me the 4 years of my life. With the active student clubs, knowledgeable faculty, great infrastructure and facilities and friendly atmosphere, my experience has been top notch.",Prabha,,,,,,,
"IIT, Pallakad is a very good institution. Though it is new and was started back in 2015 but holds a very good rank among all the IITs. Be it infrastructure, faculty, health assurance, academics or anything, this college has proven to be the best.",Swarn,,,,,,,
"The admission procedure of IITPKD is a very systematic one. It is solely based on the rank obtained in the All India JEE Advanced Entrance Exam. Students getting an aggregate of 75% in 10+2 examination from a recognised board and qualifying for JEE Mains with the declared cut off marks are permitted for the JEE Advanced Examination. After the declaration of results, there was a document verification process followed by 6 rounds of counselling were conducted for the seat allotment and upliftment of the qualified candidates. The closing rank for Mechanical Engineering in my year of admission was 7381, for the general category. Computer Science and Engineering was always my first preference but as my rank was 7034, Mechanical Engineering was the best that I could opt for.|The Career Development Centre of IITPKD is an unbiased corner that provides its students with a great career opportunity and is very supportive and aims for giving the right career opportunity to us based on our capabilities. They put in all their efforts to gift us with a fruitful future. They always aspire to achieve the best possible placement outcomes.","Ahmad""I have opted for the college hostel for accommodation. It is a comfy and clean place and comes with basic furniture such as bed", desk, chair etc. There are two hostels for boys and one for girl. The living arrangement is two in one room basis and all the rooms are bath attached. It is walking distance to the campus. There are many facilities in the hostel such as recreational area, gym, washing machine on each floor etc. The yearly hostel fee is Rs. 46,200 along with a refundable hostel deposit of Rs. 3,"000. There's no scarcity for hostel seats and all the students are easily accommodated in the campus hostels.""",Anand
Hostel facilities are world class.hospital facilties are quite good.it is available 24/7.whenever u want u can go.infrastructure are quite road.any help regarding hostel are solved asap.overall it has very hostels to live with regular cleaning  corridors and common bathrooms.,BALRAM KUMAR,,,,,,,
"Every student resides in Hostel.
Currently there are 3 hostels and every two students share one room.
The details of the hostel fees can be found on the document shared earlier.
Food here is quite good. Actually, north Indians find it little difficult to adjust with south Indian food and culture but it can be adjusted with time.",Mregank,,,,,,,
"There were two separate hostels for girls and boys, close to the college building. The rooms are allotted on sharing basis. A fitness center, RO based drinking water system, washing machine, gaming facilities are available.",Shreeparna,,,,,,,
The college has separate hostels for both girls and boys. The accommodation is based on two-sharing basis which is really good. And the best thing is that the hostel is in close proximity to the college building. One drawback is that the hostel is not fully wifi enabled and is available only in the common area.,Namgay,,,,,,,
IITPKD is a residential college having different hostels for both male and female candidates. I myself stay in the campus hostel and share my room with another student. The rooms could have been better but have a good sanitation facility. Each one of us has the independence of maintaining privacy and ragging is strictly prohibited in the campus.,Gopika,,,,,,,
"The hostel fees structure is about 25,000 per semester that includes hostel fees per semester, caption money, electricity and others. There are 3 beds in each room. A student will be provided with a bed, a table and chair and a cupboard by the hostel.",Akt,,,,,,,
"I opted for the college hostel. Hostel life has been a great experience for me. I had one roommate and there's bathroom in every room. The hostel provides many facilities like gym, washing machine on each floor, grand dining hall etc. Every room comes with basic furniture for both students. Also, every student gets allocated a room in the hostel therefore you don't have to worry about getting the slots filled. The hostel is conveniently close to the campus.",Prabha,,,,,,,
"The hostel at the college is quite amazing. Each room has 3 beds. You are provided with a bed, a table and chair and a cupboard by the hostel. The hostel fees is also quite reasonable. The per semester fee of hostel rent is 5,400, mess includes 18,000 and other expenses which total up to 28,400 per semester.",Swarn,,,,,,,
"I have opted for the college hostel for accommodation. It is a comfy and clean place and comes with basic furniture such as bed, desk, chair etc. There are two hostels for boys and one for girl. The living arrangement is two in one room basis and all the rooms are bath attached. It is walking distance to the campus. There are many facilities in the hostel such as recreational area, gym, washing machine on each floor etc. The yearly hostel fee is Rs. 46,200 along with a refundable hostel deposit of Rs. 3,000. There's no scarcity for hostel seats and all the students are easily accommodated in the campus hostels.",Anand,,,,,,,
Hostel facilities are world class.hospital facilties are quite good.it is available 24/7.whenever u want u can go.infrastructure are quite road.any help regarding hostel are solved asap.overall it has very hostels to live with regular cleaning  corridors and common bathrooms.,BALRAM KUMAR,,,,,,,
"Every student resides in Hostel.
Currently there are 3 hostels and every two students share one room.
The details of the hostel fees can be found on the document shared earlier.
Food here is quite good. Actually, north Indians find it little difficult to adjust with south Indian food and culture but it can be adjusted with time.",Mregank,,,,,,,
"There were two separate hostels for girls and boys, close to the college building. The rooms are allotted on sharing basis. A fitness center, RO based drinking water system, washing machine, gaming facilities are available.",Shreeparna,,,,,,,
The college has separate hostels for both girls and boys. The accommodation is based on two-sharing basis which is really good. And the best thing is that the hostel is in close proximity to the college building. One drawback is that the hostel is not fully wifi enabled and is available only in the common area.,Namgay,,,,,,,
IITPKD is a residential college having different hostels for both male and female candidates. I myself stay in the campus hostel and share my room with another student. The rooms could have been better but have a good sanitation facility. Each one of us has the independence of maintaining privacy and ragging is strictly prohibited in the campus.,Gopika,,,,,,,
"The hostel fees structure is about 25,000 per semester that includes hostel fees per semester, caption money, electricity and others. There are 3 beds in each room. A student will be provided with a bed, a table and chair and a cupboard by the hostel.",Akt,,,,,,,
"I opted for the college hostel. Hostel life has been a great experience for me. I had one roommate and there's bathroom in every room. The hostel provides many facilities like gym, washing machine on each floor, grand dining hall etc. Every room comes with basic furniture for both students. Also, every student gets allocated a room in the hostel therefore you don't have to worry about getting the slots filled. The hostel is conveniently close to the campus.",Prabha,,,,,,,
"The hostel at the college is quite amazing. Each room has 3 beds. You are provided with a bed, a table and chair and a cupboard by the hostel. The hostel fees is also quite reasonable. The per semester fee of hostel rent is 5,400, mess includes 18,000 and other expenses which total up to 28,400 per semester.",Swarn,,,,,,,
"I have opted for the college hostel for accommodation. It is a comfy and clean place and comes with basic furniture such as bed, desk, chair etc. There are two hostels for boys and one for girl. The living arrangement is two in one room basis and all the rooms are bath attached. It is walking distance to the campus. There are many facilities in the hostel such as recreational area, gym, washing machine on each floor etc. The yearly hostel fee is Rs. 46,200 along with a refundable hostel deposit of Rs. 3,000. There's no scarcity for hostel seats and all the students are easily accommodated in the campus hostels.",Anand,,,,,,,
Hostel facilities are world class.hospital facilties are quite good.it is available 24/7.whenever u want u can go.infrastructure are quite road.any help regarding hostel are solved asap.overall it has very hostels to live with regular cleaning  corridors and common bathrooms.,BALRAM KUMAR,,,,,,,
"Every student resides in Hostel.
Currently there are 3 hostels and every two students share one room.
The details of the hostel fees can be found on the document shared earlier.
Food here is quite good. Actually, north Indians find it little difficult to adjust with south Indian food and culture but it can be adjusted with time.",Mregank,,,,,,,
"There were two separate hostels for girls and boys, close to the college building. The rooms are allotted on sharing basis. A fitness center, RO based drinking water system, washing machine, gaming facilities are available.",Shreeparna,,,,,,,
The college has separate hostels for both girls and boys. The accommodation is based on two-sharing basis which is really good. And the best thing is that the hostel is in close proximity to the college building. One drawback is that the hostel is not fully wifi enabled and is available only in the common area.,Namgay,,,,,,,
IITPKD is a residential college having different hostels for both male and female candidates. I myself stay in the campus hostel and share my room with another student. The rooms could have been better but have a good sanitation facility. Each one of us has the independence of maintaining privacy and ragging is strictly prohibited in the campus.,Gopika,,,,,,,
"The hostel fees structure is about 25,000 per semester that includes hostel fees per semester, caption money, electricity and others. There are 3 beds in each room. A student will be provided with a bed, a table and chair and a cupboard by the hostel.",Akt,,,,,,,
"I opted for the college hostel. Hostel life has been a great experience for me. I had one roommate and there's bathroom in every room. The hostel provides many facilities like gym, washing machine on each floor, grand dining hall etc. Every room comes with basic furniture for both students. Also, every student gets allocated a room in the hostel therefore you don't have to worry about getting the slots filled. The hostel is conveniently close to the campus.",Prabha,,,,,,,
"The hostel at the college is quite amazing. Each room has 3 beds. You are provided with a bed, a table and chair and a cupboard by the hostel. The hostel fees is also quite reasonable. The per semester fee of hostel rent is 5,400, mess includes 18,000 and other expenses which total up to 28,400 per semester.","Swarn""Major part of the faculty of my course are IIT alumni. Therefore certainly"," we are being taught by the best in the field. The classes are practical as well as . The faculty team is highly passionate about what they are teaching which is transparent in the way they teach and approach the subjects. They are the pillars of this fine institution and are always ready to help us. All of my professors are dynamic and knowledgeable that actually makes me want to attend their lectures.""",Anand,,,,,
Very well and highly qualified teachers. They are approachable and helpful. Teachers and professors have practical knowledge.I know about engineering and computer science mainly because of the guidance of my professors.,Asitha,,,,,,,
Highly qualified faculty members. Most of them have PhD. Seem interested in subjects they teach. Many professional faculty members are there who are helpful. Easy for students to ask questions. Has practical knowledge.,Ziad,,,,,,,
The CSE program of IITPKD offers a classic faculty with talented and hard-working researchers who are always down to earth. All of the faculty members especially Sandeep sir is very supportive. They are all very enthusiastic and keen to impart knowledge and always try to make us more dedicated towards this field.,Gopika,,,,,,,
"Professors in my stream are highly qualified and educated. They have a lot of knowledge but sometimes fail to interpret them. They are always helpful to the students in whatever problem they have. Since, in my stream we have field work, so we require more of experience and less classroom Knowledge.",Akt,,,,,,,
"Professors here are very helpful, always ready to help you, but some of them don't have very good knowledge. All are qualified professors, but teaching quality is not very good. Many times we visit industry and sites, so from there, we can get some ideas and experience.",Gokul,,,,,,,
"The faculty of the college is very helpful and supporting. They have helped me throughout my journey at IIT. Most of the faculty members are IIT graduates. Therefore, I received quality education and lectures were always lively and interesting.",Prabha,,,,,,,
The faculty here is highly qualified and quite good. They are all ready to deal with student's issues and questions. Some guest lectureres also attend a few classes at the college. They too provide a lot of information and knowledge.,Swarn,,,,,,,
"The faculty consists of 17 members and 7 staff-members engaged in both teaching and research. Each and every member undertakes different topics of interest that fall under the course. We were guided and advised by every member to overcome the hurdles that we faced or were about to face in the future. They were the best support system we could've asked for. All of them are highly qualified and educated researchers in the concerned field with a lot of achievements as that of Sudarshan Memorial Prize. In spite of their eminent qualifications all of them were down to earth and very interactive with all of us. They were all full of enthusiasm and worked hard for us to know more about the particular course, with a lot of depth.",Ahmad,,,,,,,
The faculty are among the best in the country with many having Ph.D. and postdoc experience at top universities across the world. They are quite knowledgeable in their respective fields and do cutting edge research.,Derangula,,,,,,,
All the professors are exceptionally great and helpful. They are well-knowledge which provides us deep insight towards the same also their quality of teaching is impressive which enhances our learning.,Bidisha,,,,,,,
"The faculties are GATE passed as well as Ph.D. holders in their subjects. The teacher helps all the students with internships, practicals also guide them in various activities which helps them in the long haul.",Parag,,,,,,,
Best faculty ever. Dignified and qualified.They are always interested to teach us guide us in the lab works. They give us specific directions on our career. Their speech and lectures are valuable. Webinars are also conducted.,Preyanshi,,,,,,,
"A teacher is always the backbone of an academic institution and here at IIT Palakkad, we have well qualified and trained teachers in their respective area of specification. The teaching faculty are always available for the students. we can contact them over phone, mail ,whatsapp etc.",Faiz,,,,,,,
The faculty is well experienced and takes care of the students. They are interested to solve the queries of the students. You can call them and they will guide you. I feel under their guidance I am looking forward for a bright future.,Soumya,,,,,,,
Faculty are highly qualified here.most of the professor here have done their phd either in us or abroad.there are many visiting faculting from iit madras.they come on weekly basis.they teach very nicely.,BALRAM KUMAR,,,,,,,
"All faculties here are well experienced and are engaged in some research work.
All students are free to interact and give their ideas to all faculties. Faculties are very helpful. 
The teaching is based on conceptual learning and practical applications.
It's all about self-learning rather than spoon feeding.",Mregank,,,,,,,
I respect and love my teachers. They are all very welcoming and friendly and friendly and no one hesitates to talk to us. I also call them if they have any issues with their content. The teachers are awesome due to their adjusting nature.,Deepanweta,,,,,,,
My teachers are the best in college. They are ready to answer all of our questions. I made friends with some of my professors. I learned about my program without interruption. The faculty members are excellent of this college,Vimal,,,,,,,
"The professors were respected by everyone yet they behaved like friends with us. It was a pleasure getting to learn from them, because they used very simple techniques to explain some concepts to us. They were incredibly qualified.",Shreeparna,,,,,,,
The college has well qualified faculty for every course. The teachers are expertise in their respective discipline and they never fail to deliver quality lectures every single time. There are several talks and lectures held throughout the academic year by eminent people and industry experts which surely is an advantage for the students.,Namgay,,,,,,,
"As an IIT student, I find the faculty extremely helpful and co-operative. They have valuable degrees and are highly qualified. They teach us in a down-to-earth way. Materials and papers are always helpful.",Proto,,,,,,,
"Presently the organization is working in a brief grounds, yet at the same time, it has great offices. In two years, the entire grounds will move to its own new grounds which will be an incredible grounds. Be that as it may, it despite everything has all the labs. There are 2 to 3 emergency clinics in this grounds. All the lodgings and scholastic square has Wi-Fi offices. It has all the fundamental needs that ought to be in a college.",Ñãwãb,,,,,,,
The faculty of my college was very good. All the students were given proper guidance by the teachers in every possible aspect. All the teachers were very friendly with the students and encouraged the students to participate in extracurricular activities alongwith managing studies,Sohail,,,,,,,
"the faculty of the college is experienced and educated from national and international universities, have done PHDs professors and are highly accomplished from their respective fields. teachers are good and very interactive with students regarding everything.",Baishali,,,,,,,
The faculty of my college was very good. All the students were placed under the guidance of well experienced teachers. All the teachers were very friendly with the students and guided them in the best possible ways,Manav,,,,,,,
"the faculty of the college is very supportive, helpful and all in all good teachers to get learned from. professors are highly accomplished and are experienced from the industry and also from the academics background. they are even friendly and interactive in nature.",Shashwat,,,,,,,
"Our faculty are quiet cool! They introduce us to new experiments every day. Most important aspect they are most experienced people. Plus point is no matter what they guide us, they involve us into paper presentations, live projects etc. If you are a Geo geek! you would love this experience for sure.",Prasad,,,,,,,
Many of the faculty are well learned and most of them  are IIT graduated or any other foreign universities graduated with 20 to 30+ years experience in industry as well as teaching field. They are always ready to help out students whenever in need. More than a lecturer they act as a guide or a mentor who wont mind to encourage students until they succeed.,Akash,,,,,,,
"The college had excellent placement cell which used to organize several internship programs and placement drives. Companies like tata motors, Toyota, Honda, Dell, kpmg, pwc, etc., used to visit our college in the last semester and selected the candidates on the basis of interview",,,,,,,,
"the placements opportunities are so far good and impressive as it is IIT so no doubt the associations has to be strong and with good reputed companies which were, that not only boosted the confidence of students but also gave them golden opportunities.",,,,,,,,
The Career Development Centre of IITPKD is an unbiased corner that provides its students with a great career opportunity and is very supportive and aims for giving the right career opportunity to us based on our capabilities. They put in all their efforts to gift us with a fruitful future. They always aspire to achieve the best possible placement outcomes.,,,,,,,,
"The admission process is only through the rank you secure in the JEE Advanced Examination.|JEE Advanced 2018""",,,,,,,,
My experience till now at IIT Palakkad has been full of adventures. The quality of the education I am receiving is remarkable. The faculty and staff are always there to make the journey smooth. The facilities and infrastructure of the college is satisfying.,,,,,,,,
I sat for JEE advanced according to the dates by the institute. I had PCMB for 10+2 and scored above 90% but my JEE advanced scores is what mattered the most. JEE mains are also not applicable. It is just the advanced scores.|There are around 64 placement offers made to students. Most of the students are placed depending on other factors. The annual payment is usually in Lakhs of rupees. There are industry internship programs and I have been part of it. It really helped me to gain a lot of information about the work.,,,,,,,,
"1. I completed an application form for JEE  advanced2. There were cut offs and I had to pass in JEE advance in order to get admission. Other grades are not important. The most important is JEE advanced scores.|There are internships in and outside India. The college focuses on placements and job opportunitiesMore than 70% of students are placed The average salary is around Rs. 8,00,000  per year The highest salary is around 16 LPA.",,,,,,,,
"My admission in the esteemed institution was through All India JEE Advanced Entrance Examination. The eligibility criteria for appearing for the entrance exam was getting an aggregate of 75% in the 10+2 examination from a recognised board and then clearing the cut-off of the JEE Mains Examination. I secured a rank of 7941 and got admitted to the college. After the declaration of the results a document verification round was conducted followed by 6 rounds of counselling that finally made me get the seat. I have always wanted to pursue computer science and engineering as my subject and as I got it, there was no looking back to other options.|The placements offered by IITPKD is undoubtedly the best.The Career Development Center (CDC) offers the eligible candidates with well deserving placements. The placement cell always aims to achieve the best possible placement outcomes. Students are offered jobs depending upon their field of interest and credentials, to fruitfully pursue their career interests. Internships are conducted by the college at the end of the 4th and 6th semester, during the vacations as the college encourages the exposure of its students to industrial grounds. I have seen seniors applying for internships and successfully completing them. A stipend of about Rs. 6000/- per month is provided to all the selected candidates.",,,,,,,,
"The college is a well recognized institution. It has all the facilities and meets up all the criterias of a proper IIT. Once you get here, you go back with a bright future. All round development is promised by the college.",,,,,,,,
"First of all in order to be eligible to apply, you need to have passed 10+2 (PCM) plus have a position in the top 20 percentiles from any respective board. For B Tech program, you must score good marks in JEE examination.|Almost 60% of the students got placed. In our course, the highest salary package offered was Rs. 9 Lakhs, lowest being Rs. 6 Lakhs and the average salary package offered was Rs. 7 Lakhs. L&t Infotech is the top recruiting company. Almost 10% of the students got an internship in L&T company.",,,,,,,,
"My life at IIT Palakkad has given me the 4 years of my life. With the active student clubs, knowledgeable faculty, great infrastructure and facilities and friendly atmosphere, my experience has been top notch.",,,,,,,,
"IIT, Pallakad is a very good institution. Though it is new and was started back in 2015 but holds a very good rank among all the IITs. Be it infrastructure, faculty, health assurance, academics or anything, this college has proven to be the best.",,,,,,,,
"The admission procedure of IITPKD is a very systematic one. It is solely based on the rank obtained in the All India JEE Advanced Entrance Exam. Students getting an aggregate of 75% in 10+2 examination from a recognised board and qualifying for JEE Mains with the declared cut off marks are permitted for the JEE Advanced Examination. After the declaration of results, there was a document verification process followed by 6 rounds of counselling were conducted for the seat allotment and upliftment of the qualified candidates. The closing rank for Mechanical Engineering in my year of admission was 7381, for the general category. Computer Science and Engineering was always my first preference but as my rank was 7034, Mechanical Engineering was the best that I could opt for.|The Career Development Centre of IITPKD is an unbiased corner that provides its students with a great career opportunity and is very supportive and aims for giving the right career opportunity to us based on our capabilities. They put in all their efforts to gift us with a fruitful future. They always aspire to achieve the best possible placement outcomes.",,,,,,,,
Hostel facilities are world class.hospital facilties are quite good.it is available 24/7.whenever u want u can go.infrastructure are quite road.any help regarding hostel are solved asap.overall it has very hostels to live with regular cleaning  corridors and common bathrooms.,,,,,,,,
"Every student resides in Hostel.
Currently there are 3 hostels and every two students share one room.
The details of the hostel fees can be found on the document shared earlier.
Food here is quite good. Actually, north Indians find it little difficult to adjust with south Indian food and culture but it can be adjusted with time.",,,,,,,,
"There were two separate hostels for girls and boys, close to the college building. The rooms are allotted on sharing basis. A fitness center, RO based drinking water system, washing machine, gaming facilities are available.",,,,,,,,
The college has separate hostels for both girls and boys. The accommodation is based on two-sharing basis which is really good. And the best thing is that the hostel is in close proximity to the college building. One drawback is that the hostel is not fully wifi enabled and is available only in the common area.,,,,,,,,
IITPKD is a residential college having different hostels for both male and female candidates. I myself stay in the campus hostel and share my room with another student. The rooms could have been better but have a good sanitation facility. Each one of us has the independence of maintaining privacy and ragging is strictly prohibited in the campus.,,,,,,,,
"The hostel fees structure is about 25,000 per semester that includes hostel fees per semester, caption money, electricity and others. There are 3 beds in each room. A student will be provided with a bed, a table and chair and a cupboard by the hostel.",,,,,,,,
"I opted for the college hostel. Hostel life has been a great experience for me. I had one roommate and there's bathroom in every room. The hostel provides many facilities like gym, washing machine on each floor, grand dining hall etc. Every room comes with basic furniture for both students. Also, every student gets allocated a room in the hostel therefore you don't have to worry about getting the slots filled. The hostel is conveniently close to the campus.",,,,,,,,
"The hostel at the college is quite amazing. Each room has 3 beds. You are provided with a bed, a table and chair and a cupboard by the hostel. The hostel fees is also quite reasonable. The per semester fee of hostel rent is 5,400, mess includes 18,000 and other expenses which total up to 28,400 per semester.",,,,,,,,
"I have opted for the college hostel for accommodation. It is a comfy and clean place and comes with basic furniture such as bed, desk, chair etc. There are two hostels for boys and one for girl. The living arrangement is two in one room basis and all the rooms are bath attached. It is walking distance to the campus. There are many facilities in the hostel such as recreational area, gym, washing machine on each floor etc. The yearly hostel fee is Rs. 46,200 along with a refundable hostel deposit of Rs. 3,000. There's no scarcity for hostel seats and all the students are easily accommodated in the campus hostels.",,,,,,,,
