Comments,Reviewer Name,,,
"Huge companies like Microsoft, amazon, GS and many more come to offer internships and jobs. The Alumni network in huge and every couple of months Alumni from different sectors hold meetings and talks with students to provide them with valuable information. The placement process is fluid and the placement cell works hard to make sure maximum number of the students get placed.|I worked as a web developer in Unilog Corp in Bangalore. The work hours were Flexible and the stipend was 80000",Anirudh Sharma,,,
"The placements are pretty good . The median salary was about 12.61 lakhs and the highest package offered was 40 lakhs for the year 2020. The institute had a record of 100 percent placement. There were many top notch companies like Ernst and young, Amazon , rubique and Sutherland that visited the campus. Students undergo summer internship after first year.",Rohit Tiwari,,,
"The placement and job opportunities are very good.After I completed my PG course,I immediately got a job in an international school in Pubja as a History teacher and I also received good package from my firsy job.",Sumanth,,,
"I have got internship in my second year but unfortunately due to COVID19 I won't be able to do that.
But as I have heard, our college is only which calls companies for internships in second year.
Also we have internships for this year.
They also offer PPOs.
And also companies come for campus selection.",Nikhil Nischal,,,
"More than 90 percentage of students get placed in companies like Amazon, Flipkart, Microsoft, paytm, etc. Almost every student graduate with bright knowledge and many even some students start their own start up.",Sanskar Vyas,,,
I'm in the first year right now and for now I haven't done any internship. But my seniors have been doing internships in their vacations. They also told that companies come every year for hiring interns. Even the students are offered foreign internships.,Shivam Patidar,,,
The placements of the college are top class like any other IIT. The the college offer internships to the students and also the top domestic packages and international packages are provided by the best companies of world.,Deepan Maitra,,,
The placement of the college is top class and the best companies and MNCs visit the campus and offer the best domestic as well as international packages to the students. The students are also provided with enough scope in the internship department.,Hardik Rana,,,
Campus placement is only oriented to computer science students only They don't care about core companies.,Rahul Bharti,,,
"Our placement cell is very active and always pushing the limits, most of my friends are already placed, so I'll say our college provides a great opportunity. Our college doesn't have any official internship program, but they help us in every way to get one.",Shreyanshu Shekhar,,,
"Placements and job opportunities are different for different branches. Departments like Mechanical, Civil, Chemical are not having very good placements whereas departments like Computer Science, Electrical are having very good placements. Our college offers various internships in different fields of research. I am not doing any internship yet. So I don't know about stipend provided.",RAMOJU RISHI SITARAM,,,
"Placements and job opportunities are different for different branches. Departments like Mechanical, Civil, Chemical are not having very good placements whereas departments like Computer Science, Electrical are having very good placements. Our college offers various internships in different fields of research. I am not doing any internship yet. So I don't know about stipend provided.",RAMOJU RISHI SITARAM,,,
"Placements are one of the best in India. Average is over a million rupee and it is around a million and half for circuital branches (electrical and computer). 
Yes the college also provide both research and corporate intership opportunities within the college as well as outside. It has collaborations with universities around the globe and the stipend varies from ?20,000 to ?200,000 pm.",Harsh Mittal,,,
Our placements are also very good. All the top companies visit us for placements and internships. This year our average package was around 15 lacs according to official sources. As I have just completed my first year so I have not done any internship.,Shobhit Gupta,,,
Placements in IITs are generally the best in the country and they are regarded as the best engineering schools in the world. Many companies visit the college including all the major MNCs. Placement percentage is almost 100 percent. And yes IITs provide internship opportunities. Stipend is variable.,Tarun Garg,,,
"Placement for Mtech is not much. But college will provide you opportunities to sit for various companies but generally they prefer BTech over Mtech. Some R &D companies will come especially for Mtech but very less in no. Placement is better for design branch than any other.|Yes, college provide internships. But you have to work hard for internship, proffesor will only recommend you but converting it into internship is based your Tallent. Rolls Royce provide internship, stipend will be approx 20k, foreign internship includes NSU Singapore, Universities in Germany, 2000 euro, University in Taiwan etc.",Ritesh singh,,,
"Placements are very good as it's an IIT. Last year, every student was placed in CS branch with an average package of 17 lpa.|Yes, we have a Training and Placement cell which helps students to get summer internship in 3rd year. Stipend ranges from 10000 to 50000.",Priyanshu Ranjan,,,
