Comments,Reviewer Name,,,
"Placements are good in our college last year one student bagged a 1.2cr package.
It's the highest and average package is around 12 lpa.Many students are getting placed in IT field even though their department is not related to IT.Very few students get placed into core jobs.These are the things I know about placements and I don't know about internships and stipends.",,,,
Placement's are vee good for cse and electrical and it is very less for the other departments. Most of the companies coming for placement's are selecting the candidates who are good in coding and they are giving jobs related to marketing . Core departmental jobs are very less for mechanical and civil students. Our college provides internship opportunities. I didn't do any internship in college,,,,
the college does not provide any type of internships. if we are eligible we can apply for scholarships outside of college,,,,
And we celebrate all the festival independent of religion and region,,,,
Since it is in south,,,,
"Gender ratio is poor (6:1). Extracurricular activities are also poor. But things are changing. Sports are good relative to other colleges, but poor relative to other IITs. Other factors such as race, etc are okay. There is no discrimination as such. There are few dorm parties. But now we are given Pod money to organise dorm parties.",,,,
"We've many clubs for cultural activities. You can join any, if you're enthusiastic on it. The gender ratio is like 4:1 or something near. There is no discrimination on any sort of thing. These IITS need only your brilliance and so are we here.",,,,
"the gender ratio was almost equal. in some cases, the ratio was 52:48 in favor of boys. the college was provided with almost all labs available for us. there were many grounds provided for sports like cricket football tennis even indoor games like table tennis etc",,,,
"The campus life is really good in our college, as the campus is not very big students have to stay within boundaries this helps teachers to keep a watch on them and the students feel connected and they never feel alone. There is equal and fair gender ratio in our college. There are many extracurricular activities conducted in our college which are very good.",,,,
Campus life was very good and peaceful. Gender ratio for boys and girls was 7:1 nearly. Extracurricular activities and sports were given high importance to all students. There were strict rules on students security and living inside the campus. There were transport facilities even for students.,,,,
"Here is no such gender ratio or diversity. Its a campus where one can gain enough knowledge. Unlike the other colleges it don't have any groups and disputes or regional gangs or feelings or disputes. Almost all the students in the college are well decent and their main motto is to have good knowledge on their studies. There is no racial discrimination even by the staff. The best thing is that there are no politics in the campus. If any student is found to be misbehaved or reason for any dispute he,she will be suspended for a few days which is obviously a bad remark in their conduct certificate.",,,,
Gender ratio is very poor. Very few girls will be there here similar to many IITs. Its a campus where one can gain enough knowledge. Unlike the other colleges it don't have any groups and disputes or regional gangs or feelings or disputes. Almost all the students in the college are well decent and their main motto is to have good knowledge on their studies.There is no racial discrimination even by the staff. The best thing is that there are no politics in the campus. If any student is found to be misbehaved or reason for any dispute he /she will be suspended for afew days which is obviously a bad remark in their conduct certificate.,,,,
"My Batch strength is 196 out of them 22 of them are girls. So Gender Ratio 22/196. Campus life is not so good as compared to other colleges, like we haven't got any bike because bikes are not allowed. Campus is around 40-50 kms off the main Hyderabad City. Ola,uber doesn't come to campus. So,there is a problem with transportation in the Medak Area. Medak is a District where IIT is located. Students from different parts of India and of different castes have come here. So,we see people of the same area being together most of the time. We have many Labs and in sports ,College has got Cricket,Basketball, Badminton, Hockey, Volleyball, Tennis,Football.Lots of competitions are held in the Fest.",,,,
We have single rooms with all the necessities such as bed,,,,
"We have radiant cooling which keeps the rooms really cool during summers""",,,,
"Hostels are one of the most attraction for students. All the hostel rooms are single beded along with cupboard table chair and lan connection in every room. Each floor is divided into four pods, in each pod 8 students are there.",,,,
"Yes, I have opted for hostel. There is no sharing for the btech, mtech. All are single rooms. The infrastructure is student friendly. The hostel fee will be included in the fee structure. In holidays we need to evacuate the hostels. Or else extra fee will be deducted like 1000 for a month",,,,
It is mandatory for UG to opt for hostel during the term. Only PhD students have an option for living by themselves. We have a single rooms as of now. But UGs usually have combined rooms. 2 Students per one room.,,,,
5 stars are not enough to describe the hostel facilities as these are new IIT hostels and have good infrastructure. Each student is alloted one single room and it has pod system where each floor has four pods. Each pod has one common washouroom and 8 single rooms.,,,,
"Hostels are the best. We've single rooms with two bathroom per 8 people. As I said earlier, they cost 70000 per annum (including mess). Drinking water facility is provided along with hot watet in bathrooms. We've a radiant cooling system even.",,,,
The hostel infrastructure is one of the best in teh business with single rooms alloted to each student with lan connections in each room.An efficient system called radiant cooling system is provided for the cooling in the summer season.,,,,
"Yes, I have opted for college hostel. It is a single room hostel. So you will have the maximum privacy to read and do whatever you want to do. Infrastructure is the awesome thing of IIT Hyderabad. Facilities are every floor has a washingachine which we can use any time.and also in summer radiant cooling will be introduced.",,,,
Actually our college had best hostel infrastructure in among the other IITs (It is German architecture)our hostel blocks have radiant cooling system and for each student they will offer single room.,,,,
"No doubt, Iit Hyderabad has the one of the best hotels in Indian colleges. One room is alloted for each student with a cup board, study table and a cot in it. Also there is one bathroom in each pod (8 rooms make a pod). One can use either stairs or lift in hostel blocks.",,,,
"Yes,I am staying I hostel.The hostel building are very very good.They will allot one room per student which is very rare in engineering colleges.we have 24 hours LAN facility.But we can't access gaming websites with it.We have a gym also.",,,,
Single rooms. Everything comes under semester fees. Best and good facilities in hostels.,,,,
Hostel facilities were world class and every student would love to get such world class facilities. Buildings are seven storeyed hostels. All kinds of sports grounds and we'll furnished. A multipurpose gym was well built. Music and recreation rooms were well built. Huge stages and open stands are ultimate open places.,,,,
Hostel facilities were world class and every student would love to get such world class facilities. Buildings are seven storeyed hostels. All kinds of sports grounds and we'll furnished. A multipurpose gym was well built. Music and recreation rooms were well built. Huge stages and open stands are ultimate open places.,,,,
The hostel rooms are very neat and the best part is the food. You love the food in hostel.Its very hygienic and they provide a very good healthy and hygienic food. There are 2 sharing rooms in hostel and as the hostel seats will be provided to all the admitted candidates. And it is mandatory to stay in their hostel as the campus is located very far from the city. Not only here most of the IITs and NITs would prefer the students to stay in their hostels. Regarding the safety of the hostel its highly secured and the lab and library are opened 24*7. So students can feel very secured as there will be continuously monitored by the security inside the campus.Food and safety wise our hostels are the best part. I can rate 10 out of 10 for both of these.,,,,
